date,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Temperature,Fall_detection
"23/1/2023, 21:55:46",132,-284,20228,-488,-3,60,30.37,0
"23/1/2023, 21:55:47",240,-92,19784,-489,-92,61,30.41,0
"23/1/2023, 21:55:48",200,-140,19928,-481,-69,35,30.41,0
"23/1/2023, 21:55:49",108,-44,20004,-498,-67,55,30.41,0
"23/1/2023, 21:55:50",304,12,20044,-469,-39,77,30.55,0
"23/1/2023, 21:55:51",260,-36,20020,-497,-8,55,30.46,0
"23/1/2023, 21:55:52",48,-88,20120,-469,-75,63,30.46,0
"23/1/2023, 21:55:53",68,60,20144,-472,-38,58,30.46,0
"23/1/2023, 21:55:54",180,-120,20212,-446,-34,63,30.51,0
"23/1/2023, 21:55:55",-7812,-184,18028,-467,4550,220,30.46,2
"23/1/2023, 21:55:56",-10056,-128,16036,-489,6,49,30.51,2
"23/1/2023, 21:55:57",-9856,-160,16716,-468,-198,81,30.46,2
"23/1/2023, 21:55:58",-9876,-112,16496,-472,28,65,30.6,2
"23/1/2023, 21:55:59",-9868,-12,16112,-471,118,58,30.51,2
"23/1/2023, 21:56:00",-10344,-108,16000,-481,225,33,30.55,2
"23/1/2023, 21:56:01",-10924,-120,15740,-464,-180,78,30.55,2
"23/1/2023, 21:56:02",-10840,-176,15604,-488,-24,76,30.55,2
"23/1/2023, 21:56:03",-10772,-152,15740,-465,-201,71,30.51,2
"23/1/2023, 21:56:04",-2496,-356,18056,31,-9693,-2140,30.55,2
"23/1/2023, 21:56:05",-84,-108,19896,-427,-99,59,30.55,2
"23/1/2023, 21:56:06",128,-136,20108,-465,-76,65,30.51,0
"23/1/2023, 21:56:07",232,-132,20008,-472,-44,52,30.55,0
"23/1/2023, 21:56:08",-208,-124,20116,-470,-146,51,30.55,0
"23/1/2023, 21:56:09",460,-148,20028,-488,-25,64,30.6,0
"23/1/2023, 21:56:10",92,-68,20068,-479,-46,34,30.6,0
"23/1/2023, 21:56:11",96,-160,20144,-478,-79,41,30.55,0
